x1;x2;x3;x4;x5;x6;x7;x8
-0.0010424;-0.0019551;-0.003312;-0.004027;-0.0040861;-0.0039057;-0.0036398;-0.0033251
-0.00047553;-0.00094921;-0.0017142;-0.0022132;-0.002355;-0.0024213;-0.0025038;-0.0025024
0.0011057;0.00061782;-0.0007234;-0.0020924;-0.0027769;-0.0032694;-0.0035517;-0.0036764
-0.00085767;-0.0011351;-0.0013807;-0.0014152;-0.0014187;-0.0013149;-0.0011385;-0.00087594
0.0049411;0.0055385;0.0047595;0.0023422;0.00014173;-0.0020735;-0.0039495;-0.0055487
-0.001129;-0.0015734;-0.0019998;-0.001917;-0.0015217;-0.00098701;-0.00049612;-0.0000235
-0.0013538;-0.0010884;-0.00012999;0.00089202;0.0013557;0.0016922;0.0019088;0.0022387
-0.00029306;-0.0010498;-0.002412;-0.0034688;-0.0039392;-0.0041701;-0.0042232;-0.0040944
-0.0016426;-0.0021483;-0.002535;-0.0023865;-0.0021349;-0.0018258;-0.0014855;-0.0010455
0.00018125;-0.00024538;-0.0011309;-0.0019438;-0.0024389;-0.0028415;-0.0031639;-0.0033706
0.00027811;-0.00033143;-0.0016266;-0.0027455;-0.0032639;-0.0036517;-0.0039281;-0.004107
0.0044012;0.0066649;0.0094785;0.010601;0.010483;0.0094065;0.0077142;0.0055513
-0.00068932;-0.0012265;-0.0019618;-0.0021777;-0.0018895;-0.0014357;-0.00099284;-0.0006234
-0.00065423;-0.0013712;-0.002538;-0.0033215;-0.0035881;-0.0036785;-0.0036763;-0.0034839
-0.001312;-0.00084969;0.0004811;0.0017647;0.0021961;0.0024559;0.0026828;0.0028921
-0.00058051;-0.0012624;-0.002329;-0.0028826;-0.0027986;-0.0025179;-0.0023066;-0.0022032
-0.00090897;-0.0013825;-0.0019503;-0.0021975;-0.0022648;-0.0022185;-0.0021694;-0.0020508
-0.0011294;-0.0000366;0.0025312;0.0050875;0.006608;0.0078989;0.0090632;0.010138
-0.00052082;-0.0011273;-0.0021126;-0.0027648;-0.002953;-0.0029826;-0.0030002;-0.0029915
0.0067989;0.0084772;0.0091724;0.0075464;0.0055236;0.0030264;0.00049969;-0.0020152
0.00071728;0.00089214;0.00092057;0.00056482;0.0000818;-0.00041812;-0.00089603;-0.0013033
